City,Public Transport Ticket,McMeal,Coffee,Water (600ml),Rent/day,Bread,Milk (1L),Eggs (12),Chicken (1kg),Apples (1kg)
Sydney,2.3688610887471353,7.354307301665944,2.4075679692822196,3.1894469560909147,44.40350116636733,1.7882578807208769,1.0837926549823496,2.9184987923453267,6.200842261720442,2.2372576949278504
Melbourne,2.423050721496253,7.493652071592245,2.5004644825664206,3.5610330092277196,33.15734604983382,1.741809624078776,1.0141202700191985,2.8256022790611257,6.47179042546603,2.275964575462934
Brisbane,2.7636712702049913,6.835635102495818,2.5856196197436057,3.0346194339505783,34.37893519952107,1.633430358580541,1.0218616461262153,2.5004644825664206,5.922152721867839,2.330154208212051
Perth,2.105654301108565,7.3388245494519095,2.6011023719576385,3.359757230445284,31.734223075493894,1.5095683408682725,1.246361553229702,3.142998699448814,6.7349972131046005,2.5546541153155378
Adelaide,2.2372576949278504,6.696290332569517,2.6165851241716727,2.817860902954109,28.837400136248213,1.4708614603331887,0.8592927478788629,2.632067876385706,5.751842447513469,2.1830680621787324
Canberra,1.6953613674366752,6.920790239673004,2.546912739208522,2.6785161330278062,39.649522099048326,1.525051093082306,1.0837926549823496,2.8333436551681426,5.666687310336285,2.2604818232489
Gold Coast,2.632067876385706,7.8884622530501005,2.67077475692079,2.47724035424537,36.408724014780866,1.7263268718647424,0.8592927478788629,2.2295163188208336,5.395739146590697,2.244999071034867
Wollongong,1.8734130178980613,6.1311698767572915,2.384343840961169,2.6630333808137734,55.53147127433372,1.2618443054437354,0.8747755000928963,2.6630333808137734,6.224066390041492,2.6862575091348235
Hobart,1.679878615222642,6.835635102495818,2.6939988852418404,2.47724035424537,23.235482339340642,1.4863442125472222,0.8825168761999131,2.5236886108874708,5.132532358952127,2.1908094382857493
Geelong,1.4089304514770544,6.835635102495818,2.632067876385706,3.8861708057224247,36.08823104395037,1.4786028364402053,0.9676720133770979,2.9649470489874274,6.6808075803554825,2.314671455998018
Townsville,2.105654301108565,6.587911067071281,2.5159472347804543,2.988171177308478,23.381794347763254,1.4863442125472222,0.9754133894841146,3.0965504428067128,5.960859602402923,2.392085217068186
Newcastle,1.5792407258314236,6.3092215272186785,2.5856196197436057,3.1894469560909147,38.07311987778947,1.7959992568278933,0.9676720133770979,3.0655849383786458,5.5892735492661165,2.4307920976032698
Cairns,2.0514646683594475,7.8884622530501005,2.7636712702049913,3.5455502570136863,20.38588179434776,1.5095683408682725,1.0063788939121818,2.593360995850622,5.922152721867839,2.562395491422555
Darwin,1.5792407258314236,8.414875828327242,2.6785161330278062,3.5919985136557866,27.415051299519,1.6024648541524737,0.8979996284139466,3.290084845482133,6.525980058215147,2.7559298940979744
Ballarat,2.593360995850622,7.710410602588716,2.3688610887471353,3.050102186164612,32.16257922008216,1.137982287731467,0.7354307301665943,2.1443611816436485,6.301480151111662,2.2991887037839844
