Slice Label,Rent (% of Income),Food (% of Income),Transportation (% of Income),Utilities (% of Income),Leisure (% of Income),Remaining (% of Income)
Sydney,70.11079131531683,8.189561039528279,3.0719002715185804,5.429149296105191,4.3816188765714985,8.81697920095962
Melbourne,52.35370428921129,8.822112955641098,2.2649636725740154,6.056608201621287,4.46555169120547,26.037059189746834
Brisbane,54.28252926240168,7.899259435515151,2.8139902149006004,5.83047853112685,4.451698702382387,24.722043853673327
Perth,50.10666801393773,9.176586493172922,1.9204724358117684,5.820292509933407,4.613860159782002,28.36212038736219
Adelaide,45.53273705723402,7.404218805513812,1.5126241472263056,8.559109888426397,4.227606236126639,32.76370386547283
Canberra,62.60450857744472,8.537922964344034,1.498363717555485,6.01667899854299,4.446809412209536,16.895716329903223
Gold Coast,57.48745897070662,8.287346842985336,2.2843171128415576,4.94918397747015,4.385693285048877,22.605999810947456
Wollongong,87.6812704331585,7.2086471985997065,1.0481415808052987,4.614675041477478,4.376729586398646,-4.929463840439645
Hobart,36.68760369369575,9.054354238851603,1.3103297663245246,9.690980563441798,5.267395279553313,37.989336458133025
Geelong,56.981417437816376,6.985573334463302,1.1447050617191394,5.173276443725899,4.22190206425831,25.493125658016975
Townsville,36.918622654363034,7.725078473107275,1.163039899867337,3.9456571694921325,4.418288552867894,45.829313250302334
Newcastle,60.11545243861496,7.9420407245276134,2.810526967694829,8.086885945898374,4.217827655780934,16.8272662674833
Cairns,32.18823441212804,8.987126498974877,2.130711913244435,5.26087622598951,4.55518867770777,46.877862271955365
Darwin,43.286923104503686,8.669322637739452,0.9204088750395217,6.9550152708829724,5.22665119477954,34.94167891705484
Ballarat,50.783019821182364,7.935929111811545,0.9711352605828685,10.066233584208243,4.54622497905754,25.697457243157444
